Time,Br,Vr,Np,T,Mass Flux
2018-10-31 08:00:00,-40.312153,331.34735,166.86707,28.743149,55569.445
2018-10-31 08:01:00,-41.746243,331.05746,166.82504,29.999884,55510.54
2018-10-31 08:02:00,-32.022835,329.22443,199.8568,32.96894,66213.88
2018-10-31 08:03:00,-36.323242,324.21674,204.20108,32.85615,66653.1
2018-10-31 08:04:00,-46.578476,320.33963,179.4069,30.780422,57749.496
2018-10-31 08:05:00,-39.515903,320.97418,199.58499,33.38631,64535.848
2018-10-31 08:06:00,-36.32834,322.40872,197.34084,34.611973,64191.785
2018-10-31 08:07:00,-34.3513,320.75513,205.47403,35.647648,66501.25
2018-10-31 08:08:00,-37.902798,318.26654,233.45383,41.442623,75022.6
2018-10-31 08:09:00,-42.188457,324.56952,251.89436,46.19146,82488.8
2018-10-31 08:10:00,-39.486458,330.50195,241.705,45.12351,80442.914
2018-10-31 08:11:00,-46.980556,325.5017,242.80223,45.929966,79658.28
2018-10-31 08:12:00,-45.27066,318.12222,261.85626,45.70598,83999.086
2018-10-31 08:13:00,-38.741405,315.15033,275.68423,44.809875,87617.086
2018-10-31 08:14:00,-42.376507,312.09436,261.4352,41.969074,82328.23
2018-10-31 08:15:00,-45.104023,319.136,249.22444,44.573296,80164.83
2018-10-31 08:16:00,-44.415943,331.4051,237.99516,52.810585,79116.36
2018-10-31 08:17:00,-43.17048,333.85773,232.66779,55.11724,77841.14
2018-10-31 08:18:00,-33.960835,345.08844,231.87924,58.18389,80266.305
2018-10-31 08:19:00,-18.484076,357.94043,233.37427,60.759724,83709.945
2018-10-31 08:20:00,-16.520706,358.04507,237.47325,64.308914,85374.234
2018-10-31 08:21:00,0.25759533,370.02704,236.47353,66.5678,87933.45
2018-10-31 08:22:00,6.7145348,374.61935,244.80038,71.477875,92476.69
2018-10-31 08:23:00,-10.039086,359.62738,236.77753,64.86615,85830.9
2018-10-31 08:24:00,15.056749,374.84665,208.6053,69.27533,78538.71
2018-10-31 08:25:00,34.979156,392.2508,170.42418,67.796455,67165.83
2018-10-31 08:26:00,24.845219,382.70062,177.8507,66.980446,68344.28
2018-10-31 08:27:00,25.315613,384.01022,175.53961,67.52115,67681.664
2018-10-31 08:28:00,25.751968,385.1349,169.61429,67.180244,65567.98
2018-10-31 08:29:00,20.632153,382.33752,177.03938,67.67616,67900.664
2018-10-31 08:30:00,19.201267,379.47943,178.08566,66.92848,67747.3
2018-10-31 08:31:00,-26.749899,350.32266,225.36017,63.793198,79251.66
2018-10-31 08:32:00,-24.224566,350.8849,256.67862,68.11714,90165.984
2018-10-31 08:33:00,-19.731983,350.3394,262.41147,68.99143,91993.41
2018-10-31 08:34:00,-17.437082,353.24457,252.17604,68.23897,89122.86
2018-10-31 08:35:00,-21.582077,350.8213,252.78888,67.88307,88719.11
2018-10-31 08:36:00,-20.00604,353.21378,249.39833,69.11333,88108.46
2018-10-31 08:37:00,-16.455688,357.15555,227.73224,69.08676,81385.98
2018-10-31 08:38:00,-23.402796,361.45795,208.6715,68.80356,75469.91
2018-10-31 08:39:00,-22.764935,360.51617,202.86264,68.62896,73224.82
2018-10-31 08:40:00,-21.9822,356.90106,198.4456,67.51282,70878.445
2018-10-31 08:41:00,-18.454163,357.7093,205.463,68.831764,73664.5
2018-10-31 08:42:00,-31.022509,354.4277,203.21275,68.02742,72489.11
2018-10-31 08:43:00,-36.806137,348.79556,208.524,67.155266,73439.51
2018-10-31 08:44:00,-42.21953,346.71347,210.91608,67.33355,73900.49
2018-10-31 08:45:00,-39.244278,343.77017,208.61258,64.667274,72230.32
2018-10-31 08:46:00,-33.21063,349.48785,200.58124,66.190125,70448.58
2018-10-31 08:47:00,-21.67887,353.8965,201.96687,67.67783,71637.23
2018-10-31 08:48:00,-23.820906,353.2865,202.2616,67.581604,71674.16
2018-10-31 08:49:00,-33.85106,345.76535,192.74211,64.49305,67004.305
2018-10-31 08:50:00,-38.68252,338.6689,188.38336,62.802563,64241.26
2018-10-31 08:51:00,-41.13255,342.8776,165.62816,63.92156,57465.9
2018-10-31 08:52:00,-37.984768,347.5503,157.71309,63.06372,55352.145
2018-10-31 08:53:00,-35.27686,347.23868,161.37752,62.88826,56536.47
2018-10-31 08:54:00,-33.028973,352.08737,159.40549,63.675514,56753.312
2018-10-31 08:55:00,-30.495937,357.17477,153.40659,65.48762,55557.34
2018-10-31 08:56:00,-27.05893,362.06888,152.92223,66.85255,56187.707
2018-10-31 08:57:00,-22.491821,365.7798,156.80122,67.341576,58310.562
2018-10-31 08:58:00,-25.871588,369.2752,156.8708,68.5454,58784.734
2018-10-31 08:59:00,-28.227177,372.8753,152.97002,68.96559,57684.67
2018-10-31 09:00:00,-25.34333,367.7992,159.17868,68.25053,58872.7
2018-10-31 09:01:00,-24.634396,357.64996,194.90166,68.84943,69920.414
2018-10-31 09:02:00,-20.441187,353.80463,213.37149,68.706375,75758.375
2018-10-31 09:03:00,-14.327611,358.8676,200.07307,68.64137,72153.29
